"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/B0990","Support activities for other mining and quarrying","","B0990","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C_D","Manufacturing; electricity, gas, steam and air conditioning supply","","C_D","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/HTC","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","","HTC","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C","Manufacturing","","C","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C_HTC_MH","High and medium high-technology manufacturing","","C_HTC_MH","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C_HTC_M","Medium high-technology manufacturing","","C_HTC_M","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C_HTC","High-technology manufacturing","","C_HTC","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C_LTC_LM","Low and medium low-technology manufacturing","","C_LTC_LM","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C_LTC_M","Medium low-technology manufacturing","","C_LTC_M","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C_LTC","Low-technology manufacturing","","C_LTC","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C_ORD","Manufacturing, for new orders","","C_ORD","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C_ORD_X_C30","Manufacturing, for new orders (except heavy transport equipment)","","C_ORD_X_C30","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C_X_STEEL","Manufacturing (except steel and building of ships and boats)","","C_X_STEEL","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C10-C12","Manufacture of food products; beverages and tobacco products","","C10-C12","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C10_C11","Manufacture of food products and beverages","","C10_C11","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C10","Manufacture of food products","","C10","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C101","Processing and preserving of meat and production of meat products","","C101","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1011","Processing and preserving of meat","","C1011","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1012","Processing and preserving of poultry meat","","C1012","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1013","Production of meat and poultry meat products","","C1013","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C102","Processing and preserving of fish, crustaceans and molluscs","","C102","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1020","Processing and preserving of fish, crustaceans and molluscs","","C1020","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C103","Processing and preserving of fruit and vegetables","","C103","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1031","Processing and preserving of potatoes","","C1031","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1032","Manufacture of fruit and vegetable juice","","C1032","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1039","Other processing and preserving of fruit and vegetables","","C1039","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C104","Manufacture of vegetable and animal oils and fats","","C104","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1041","Manufacture of oils and fats","","C1041","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1042","Manufacture of margarine and similar edible fats","","C1042","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C105","Manufacture of dairy products","","C105","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1051","Operation of dairies and cheese making","","C1051","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1052","Manufacture of ice cream","","C1052","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C106","Manufacture of grain mill products, starches and starch products","","C106","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1061","Manufacture of grain mill products","","C1061","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1062","Manufacture of starches and starch products","","C1062","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C107","Manufacture of bakery and farinaceous products","","C107","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1071","Manufacture of bread; manufacture of fresh pastry goods and cakes","","C1071","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1072","Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes","","C1072","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1073","Manufacture of macaroni, noodles, couscous and similar farinaceous products","","C1073","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C108","Manufacture of other food products","","C108","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1081","Manufacture of sugar","","C1081","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1082","Manufacture of cocoa, chocolate and sugar confectionery","","C1082","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1083","Processing of tea and coffee","","C1083","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1084","Manufacture of condiments and seasonings","","C1084","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1085","Manufacture of prepared meals and dishes","","C1085","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1086","Manufacture of homogenised food preparations and dietetic food","","C1086","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1089","Manufacture of other food products n.e.c.","","C1089","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C109","Manufacture of prepared animal feeds","","C109","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1091","Manufacture of prepared feeds for farm animals","","C1091","valid","2013-07-25"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nace_r2/C1092","Manufacture of prepared pet foods","","C1092","valid","2013-07-25"
