AnzahlFall,Datum,FID,IstErkrankungsbeginn
2.0,2020-03-05 01:00:00,12744647,1.0
1.0,2020-03-05 01:00:00,12745769,1.0
2.0,2020-03-05 01:00:00,12746517,1.0
1.0,2020-03-05 01:00:00,12746891,1.0
1.0,2020-03-05 01:00:00,12747265,1.0
1.0,2020-03-05 01:00:00,12747639,1.0
1.0,2020-03-05 01:00:00,12748013,1.0
5.0,2020-03-05 01:00:00,12748387,1.0
6.0,2020-03-05 01:00:00,12748761,1.0
5.0,2020-03-05 01:00:00,12749135,1.0
2.0,2020-03-05 01:00:00,12749509,1.0
10.0,2020-03-05 01:00:00,12749883,1.0
2.0,2020-03-05 01:00:00,12750257,1.0
2.0,2020-03-05 01:00:00,12750631,1.0
1.0,2020-03-05 01:00:00,12751005,1.0
26.0,2020-03-05 01:00:00,12751379,1.0
5.0,2020-03-05 01:00:00,12751380,0.0
1.0,2020-03-05 01:00:00,12751753,1.0
3.0,2020-03-05 01:00:00,12751754,0.0
3.0,2020-03-05 01:00:00,12752127,1.0
5.0,2020-03-05 01:00:00,12752501,1.0
1.0,2020-03-05 01:00:00,12752502,0.0
1.0,2020-03-05 01:00:00,12753249,1.0
1.0,2020-03-05 01:00:00,12753250,0.0
1.0,2020-03-05 01:00:00,12753623,1.0
5.0,2020-03-05 01:00:00,12753997,1.0
6.0,2020-03-05 01:00:00,12754371,1.0
6.0,2020-03-05 01:00:00,12754745,1.0
1.0,2020-03-05 01:00:00,12755867,1.0
1.0,2020-03-05 01:00:00,12756615,1.0
4.0,2020-03-05 01:00:00,12757737,1.0
1.0,2020-03-05 01:00:00,12758111,1.0
3.0,2020-03-05 01:00:00,12758485,1.0
2.0,2020-03-05 01:00:00,12758859,1.0
3.0,2020-03-05 01:00:00,12759981,1.0
2.0,2020-03-05 01:00:00,12761103,1.0
2.0,2020-03-05 01:00:00,12761477,1.0
1.0,2020-03-05 01:00:00,12763347,1.0
1.0,2020-03-05 01:00:00,12764095,1.0
1.0,2020-03-05 01:00:00,12766339,1.0
2.0,2020-03-05 01:00:00,12768209,1.0
1.0,2020-03-05 01:00:00,12769331,1.0
1.0,2020-03-05 01:00:00,12770079,1.0
2.0,2020-03-05 01:00:00,12770453,1.0
1.0,2020-03-05 01:00:00,12771201,1.0
1.0,2020-03-05 01:00:00,12772323,1.0
1.0,2020-03-05 01:00:00,12772698,0.0
1.0,2020-03-05 01:00:00,12774941,1.0
2.0,2020-03-05 01:00:00,12775689,1.0
1.0,2020-03-05 01:00:00,12776063,1.0
1.0,2020-03-05 01:00:00,12777559,1.0
1.0,2020-03-05 01:00:00,12778307,1.0
1.0,2020-03-05 01:00:00,12782421,1.0
2.0,2020-03-05 01:00:00,12786161,1.0
1.0,2020-03-05 01:00:00,12786535,1.0
1.0,2020-03-05 01:00:00,12786536,0.0
4.0,2020-03-05 01:00:00,12786909,1.0
1.0,2020-03-05 01:00:00,12786910,0.0
4.0,2020-03-05 01:00:00,12787283,1.0
5.0,2020-03-05 01:00:00,12787657,1.0
1.0,2020-03-05 01:00:00,12787658,0.0
5.0,2020-03-05 01:00:00,12788031,1.0
5.0,2020-03-05 01:00:00,12788779,1.0
1.0,2020-03-05 01:00:00,12788780,0.0
