AnzahlFall,Datum,FID,IstErkrankungsbeginn
1.0,2020-05-16 02:00:00,12848389,1.0
1.0,2020-05-16 02:00:00,12849885,1.0
2.0,2020-05-16 02:00:00,12850259,1.0
3.0,2020-05-16 02:00:00,12850260,0.0
1.0,2020-05-16 02:00:00,12852129,1.0
1.0,2020-05-16 02:00:00,12852877,1.0
1.0,2020-05-16 02:00:00,12855121,1.0
2.0,2020-05-16 02:00:00,12856243,1.0
1.0,2020-05-16 02:00:00,12856244,0.0
1.0,2020-05-16 02:00:00,12856617,1.0
2.0,2020-05-16 02:00:00,12856618,0.0
2.0,2020-05-16 02:00:00,12856991,1.0
2.0,2020-05-16 02:00:00,12857365,1.0
1.0,2020-05-16 02:00:00,12857366,0.0
3.0,2020-05-16 02:00:00,12858488,0.0
1.0,2020-05-16 02:00:00,12862227,1.0
1.0,2020-05-16 02:00:00,12862601,1.0
1.0,2020-05-16 02:00:00,12863349,1.0
1.0,2020-05-16 02:00:00,12863723,1.0
2.0,2020-05-16 02:00:00,12865593,1.0
1.0,2020-05-16 02:00:00,12867463,1.0
2.0,2020-05-16 02:00:00,12868212,0.0
3.0,2020-05-16 02:00:00,12871577,1.0
3.0,2020-05-16 02:00:00,12871578,0.0
2.0,2020-05-16 02:00:00,12871952,0.0
2.0,2020-05-16 02:00:00,12872699,1.0
2.0,2020-05-16 02:00:00,12872700,0.0
5.0,2020-05-16 02:00:00,12873073,1.0
1.0,2020-05-17 02:00:00,12719736,0.0
1.0,2020-05-17 02:00:00,12723849,1.0
2.0,2020-05-17 02:00:00,12724223,1.0
1.0,2020-05-17 02:00:00,12725346,0.0
1.0,2020-05-17 02:00:00,12729085,1.0
7.0,2020-05-17 02:00:00,12729459,1.0
2.0,2020-05-17 02:00:00,12729460,0.0
1.0,2020-05-17 02:00:00,12730207,1.0
8.0,2020-05-17 02:00:00,12730581,1.0
1.0,2020-05-17 02:00:00,12731703,1.0
2.0,2020-05-17 02:00:00,12733947,1.0
1.0,2020-05-17 02:00:00,12736939,1.0
1.0,2020-05-17 02:00:00,12737313,1.0
3.0,2020-05-17 02:00:00,12739183,1.0
3.0,2020-05-17 02:00:00,12741053,1.0
1.0,2020-05-17 02:00:00,12742175,1.0
4.0,2020-05-17 02:00:00,12742549,1.0
5.0,2020-05-17 02:00:00,12742550,0.0
9.0,2020-05-17 02:00:00,12743298,0.0
11.0,2020-05-17 02:00:00,12743671,1.0
1.0,2020-05-17 02:00:00,12743672,0.0
1.0,2020-05-17 02:00:00,12744045,1.0
4.0,2020-05-17 02:00:00,12744419,1.0
1.0,2020-05-17 02:00:00,12745167,1.0
1.0,2020-05-17 02:00:00,12745541,1.0
2.0,2020-05-17 02:00:00,12746289,1.0
2.0,2020-05-17 02:00:00,12746664,0.0
1.0,2020-05-17 02:00:00,12747038,0.0
5.0,2020-05-17 02:00:00,12747786,0.0
1.0,2020-05-17 02:00:00,12748533,1.0
1.0,2020-05-17 02:00:00,12748534,0.0
10.0,2020-05-17 02:00:00,12749282,0.0
1.0,2020-05-17 02:00:00,12750404,0.0
1.0,2020-05-17 02:00:00,12750777,1.0
2.0,2020-05-17 02:00:00,12751525,1.0
2.0,2020-05-17 02:00:00,12751899,1.0
1.0,2020-05-17 02:00:00,12752273,1.0
1.0,2020-05-17 02:00:00,12752647,1.0
20.0,2020-05-17 02:00:00,12752648,0.0
1.0,2020-05-17 02:00:00,12753395,1.0
3.0,2020-05-17 02:00:00,12753769,1.0
10.0,2020-05-17 02:00:00,12754144,0.0
4.0,2020-05-17 02:00:00,12754518,0.0
1.0,2020-05-17 02:00:00,12754892,0.0
1.0,2020-05-17 02:00:00,12755265,1.0
1.0,2020-05-17 02:00:00,12755639,1.0
1.0,2020-05-17 02:00:00,12756762,0.0
