date,region,cases,cases_national,country,eurostat_total_population_2019,code,new_cases,new_cases_national,sum_pop,cases_pop_sub,cases_pop_nat,ratio_pop_cum,ratio_cum,ratio_new,ratio_cum2,ratio_new2
2020-01-04,Uri,0,0,Switzerland,36433,CH062,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Valais,0,0,Switzerland,343955,CH012,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Vaud,0,0,Switzerland,799145,CH011,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Zug,0,0,Switzerland,126837,CH066,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-04,Zurich,0,0,Switzerland,1520968,CH040,0,0,8544527,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Auvergne-Rhone-Alpes,0,0,France,8005882,FRK,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Bourgogne-Franche-Comté,0,0,France,2793333,FRC,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Brittany,0,0,France,3333720,FRH,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Centre-Val de Loire,0,0,France,2565258,FRB,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Corsica,0,0,France,341554,FRM,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Grand Est,0,0,France,5525291,FRF,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Guadeloupe,0,0,France,416474,FRY1,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Guyane,0,0,France,283539,FRY3,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Hauts-de-France,0,0,France,5977437,FRE,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Ile-de-France,0,0,France,12244807,FR1,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,La Réunion,0,0,France,857961,FRY4,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Martinique,0,0,France,363484,FRY2,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Mayotte,0,0,France,269471,FRY5,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Normandy,0,0,France,3313340,FRD,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Nouvelle-Aquitaine,0,0,France,5986318,FRI,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Occitanie,0,0,France,5899209,FRJ,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Pays de la Loire,0,0,France,3787400,FRG,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Provence-Alpes-Côte d'Azur,0,0,France,5048405,FRL,0,0,67012883,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Baden-Wuerttemberg,0,0,Germany,11069533,DE1,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Bavaria,0,0,Germany,13076721,DE2,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Berlin,0,0,Germany,3644826,DE3,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Brandenburg,0,0,Germany,2511917,DE4,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Bremen,0,0,Germany,682986,DE5,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Hamburg,0,0,Germany,1841179,DE6,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Hesse,0,0,Germany,6265809,DE7,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Lower Saxony,0,0,Germany,7982448,DE9,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Mecklenburg-Vorpommern,0,0,Germany,1609675,DE8,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,North Rhine-Westphalia,0,0,Germany,17932651,DEA,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Rheinland-Pfalz,0,0,Germany,4084844,DEB,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Saarland,0,0,Germany,990509,DEC,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Saxony,0,0,Germany,4077937,DED,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Saxony-Anhalt,0,0,Germany,2208321,DEE,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Schleswig-Holstein,0,0,Germany,2896712,DEF,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
2020-01-05,Thuringia,0,0,Germany,2143145,DEG,0,0,83019213,0,0,0,NaN,NaN,NaN,NaN
