country,date,type,centDegStd,hubStd,hubWt,centDegRaw,hubRaw,centDegTheory,hubTheory
Switzerland,2020-03-26,Lockdown,0.06769230769230769,0.038461538461538484,1,0.03254437869822485,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-27,Lockdown,0.06769230769230769,0.038461538461538484,1,0.03254437869822485,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-28,Lockdown,0.06769230769230769,0.03846153846153849,0.9999999999999998,0.03254437869822485,1.0000000000000002,0.4807692307692308,25.999999999999986
Switzerland,2020-03-29,Lockdown,0.06769230769230769,0.038461538461538484,1.0000000000000002,0.03254437869822485,1,0.4807692307692308,25.999999999999986
Switzerland,2020-03-30,Lockdown,0.06769230769230769,0.03846153846153849,1,0.03254437869822485,1.0000000000000002,0.4807692307692308,25.999999999999986
Switzerland,2020-03-31,Lockdown,0.06769230769230769,0.03846153846153849,0.9999999999999998,0.03254437869822485,1.0000000000000002,0.4807692307692308,25.999999999999986
Switzerland,2020-04-01,Lockdown,0.06769230769230769,0.03846153846153849,1,0.03254437869822485,1.0000000000000002,0.4807692307692308,25.999999999999986
Switzerland,2020-04-02,Lockdown,0.06769230769230769,0.03846153846153849,0.9999999999999998,0.03254437869822485,1.0000000000000002,0.4807692307692308,25.999999999999986
Switzerland,2020-04-03,Lockdown,0.06769230769230769,0.038461538461538484,1,0.03254437869822485,1,0.4807692307692308,25.999999999999986
Switzerland,2020-04-04,Lockdown,0.06769230769230769,0.038461538461538484,1,0.03254437869822485,1,0.4807692307692308,25.999999999999986
Switzerland,2020-04-05,Lockdown,0.06769230769230769,0.038461538461538484,1,0.03254437869822485,1,0.4807692307692308,25.999999999999986
Switzerland,2020-04-06,Lockdown,0.06769230769230769,0.03846153846153849,0.9999999999999998,0.03254437869822485,1.0000000000000002,0.4807692307692308,25.999999999999986
Switzerland,2020-04-07,Lockdown,0.06769230769230769,0.038461538461538484,1,0.03254437869822485,1,0.4807692307692308,25.999999999999986
Switzerland,2020-04-08,Lockdown,0.06769230769230769,0.038461538461538484,1,0.03254437869822485,1,0.4807692307692308,25.999999999999986
Switzerland,2020-04-09,Lockdown,0.06769230769230769,0.03846153846153849,0.9999999999999998,0.03254437869822485,1.0000000000000002,0.4807692307692308,25.999999999999986
Switzerland,2020-04-10,Lockdown,0.06769230769230769,0.038461538461538484,1.0000000000000002,0.03254437869822485,1,0.4807692307692308,25.999999999999986
Switzerland,2020-04-11,Lockdown,0.06769230769230769,0.038461538461538484,1,0.03254437869822485,1,0.4807692307692308,25.999999999999986
