"","country","date","hhi_cumulative","hhi_new"
"533","Italy",2020-05-04,1.18379419373576,1.27269105156083
"534","Italy",2020-05-05,1.18407508865195,1.25599653866955
"535","Italy",2020-05-06,1.1847012326846,1.30866331980264
"536","Italy",2020-05-07,1.18527932091671,1.30032132651247
"537","Italy",2020-05-08,1.18571661570163,1.27529900410522
"538","Italy",2020-05-09,1.1860305892863,1.26243318847734
"539","Italy",2020-05-10,1.18595634197304,1.17026168991486
"540","Italy",2020-05-11,1.18620783340992,1.28044065787952
"541","Italy",2020-05-12,1.18759609465751,1.55311649752443
"542","Italy",2020-05-13,1.18776734279457,1.24777564726889
"543","Italy",2020-05-14,1.1881984205592,1.31475595083247
"544","Italy",2020-05-15,1.18819620333428,1.19950009718548
